LONG,the_geom,Date_Imple,LAT
-73.8653363455,POINT (-73.86533634553864 40.88686958609202),11/16/2017 12:00:00 AM +0000,40.8868695861
-74.0787086232,POINT (-74.07870862315278 40.6340659495058),09/10/2017 12:00:00 AM +0000,40.6340659495
-74.0779430319,POINT (-74.07794303187048 40.637782302653925),09/10/2017 12:00:00 AM +0000,40.6377823027
-74.0779822368,POINT (-74.07798223684372 40.63786437549852),09/10/2017 12:00:00 AM +0000,40.6378643755
-74.0066499828,POINT (-74.00664998280897 40.67280297496132),12/01/2017 12:00:00 AM +0000,40.672802975
-74.0050790062,POINT (-74.00507900617973 40.67236383777929),12/01/2017 12:00:00 AM +0000,40.6723638378
-73.9133347475,POINT (-73.91333474749543 40.79999699204005),12/20/2017 12:00:00 AM +0000,40.799996992
-73.8639153717,POINT (-73.86391537165483 40.889736226766104),11/16/2017 12:00:00 AM +0000,40.8897362268
-73.8689076531,POINT (-73.86890765312084 40.87871890332932),04/13/2018 12:00:00 AM +0000,40.8787189033
-73.9582917708,POINT (-73.95829177084566 40.669778943530716),06/01/2017 12:00:00 AM +0000,40.6697789435
-74.0027297973,POINT (-74.00272979728726 40.70719859808406),04/24/2018 12:00:00 AM +0000,40.7071985981
-73.9201272971,POINT (-73.92012729711747 40.77948897170133),12/07/2017 12:00:00 AM +0000,40.7794889717
-73.9219900149,POINT (-73.92199001485986 40.777964109421156),12/07/2017 12:00:00 AM +0000,40.7779641094
-74.0150480732,POINT (-74.01504807322506 40.65436263860994),05/28/2018 12:00:00 AM +0000,40.6543626386
-73.9343351565,POINT (-73.93433515647675 40.75501548366785),06/14/2018 12:00:00 AM +0000,40.7550154837
-73.9327911914,POINT (-73.93279119136005 40.75419456575144),06/14/2018 12:00:00 AM +0000,40.7541945658
-73.9344702508,POINT (-73.93447025076692 40.75352140557777),06/14/2018 12:00:00 AM +0000,40.7535214056
-73.9031558818,POINT (-73.90315588178478 40.8865113996436),06/07/2018 12:00:00 AM +0000,40.8865113996
-73.9080186311,POINT (-73.90801863107578 40.882394921553484),06/07/2018 12:00:00 AM +0000,40.8823949216
-74.1360932462,POINT (-74.13609324618949 40.60243019643962),06/08/2018 12:00:00 AM +0000,40.6024301964
-73.7805319476,POINT (-73.78053194757982 40.77986119385073),05/10/2018 12:00:00 AM +0000,40.7798611939
-73.9021775487,POINT (-73.90217754872424 40.643783574162846),07/03/2018 12:00:00 AM +0000,40.6437835742
-74.0019988376,POINT (-74.00199883757938 40.733735698833904),07/06/2018 12:00:00 AM +0000,40.7337356988
-74.0012047477,POINT (-74.00120474769206 40.73384310986971),07/06/2018 12:00:00 AM +0000,40.7338431099
-73.9949214089,POINT (-73.99492140892134 40.75529240648602),06/20/2018 12:00:00 AM +0000,40.7552924065
-73.9352276453,POINT (-73.93522764527613 40.76952287502019),06/27/2018 12:00:00 AM +0000,40.769522875
-73.9799935261,POINT (-73.97999352614326 40.65203268622639),08/29/2018 12:00:00 AM +0000,40.6520326862
-73.9012355032,POINT (-73.90123550320708 40.87811603908956),08/29/2018 12:00:00 AM +0000,40.8781160391
-73.9911658261,POINT (-73.99116582614523 40.77273119771586),08/15/2018 12:00:00 AM +0000,40.7727311977
-73.9103981463,POINT (-73.91039814631968 40.843465390512215),11/30/1899 12:00:00 AM +0000,40.8434653905
-73.9081195516,POINT (-73.90811955158867 40.88531390260947),06/06/2018 12:00:00 AM +0000,40.8853139026
-73.9090333165,POINT (-73.90903331645319 40.88548333252484),06/06/2018 12:00:00 AM +0000,40.8854833325
-73.9137768432,POINT (-73.91377684323663 40.67568678048052),08/13/2018 12:00:00 AM +0000,40.6756867805
-73.8816088682,POINT (-73.88160886821548 40.63913063114704),08/16/2018 12:00:00 AM +0000,40.6391306311
-73.8436792273,POINT (-73.84367922726676 40.71976192410056),09/19/2018 12:00:00 AM +0000,40.7197619241
-73.8426236549,POINT (-73.84262365488524 40.71934889748841),09/19/2018 12:00:00 AM +0000,40.7193488975
-73.8415884867,POINT (-73.84158848670405 40.718890694371794),09/19/2018 12:00:00 AM +0000,40.7188906944
-73.8469643649,POINT (-73.84696436488746 40.72095893846613),09/19/2018 12:00:00 AM +0000,40.7209589385
-73.9247162117,POINT (-73.92471621171737 40.778554142703406),03/01/2015 12:00:00 AM +0000,40.7785541427
-73.9232982909,POINT (-73.92329829094544 40.77953159543905),03/01/2015 12:00:00 AM +0000,40.7795315954
-73.9219440983,POINT (-73.92194409831556 40.78063621390485),03/01/2015 12:00:00 AM +0000,40.7806362139
-73.9215629728,POINT (-73.92156297275244 40.781007236687145),03/01/2015 12:00:00 AM +0000,40.7810072367
-73.8617143809,POINT (-73.86171438089131 40.74502896022879),09/20/2018 12:00:00 AM +0000,40.7450289602
-74.0091193624,POINT (-74.00911936237735 40.63246392895486),07/27/2018 12:00:00 AM +0000,40.632463929
-73.9115037832,POINT (-73.91150378321774 40.65738220578409),10/16/2018 12:00:00 AM +0000,40.6573822058
-73.9557389256,POINT (-73.9557389255677 40.699927314236646),10/05/2018 12:00:00 AM +0000,40.6999273142
-73.860440173,POINT (-73.86044017301046 40.73406636697869),11/07/2018 12:00:00 AM +0000,40.734066367
-73.9074418584,POINT (-73.90744185840474 40.664377730787415),10/10/2018 12:00:00 AM +0000,40.6643777308
-73.8612826863,POINT (-73.86128268633324 40.7337158126733),12/11/2018 12:00:00 AM +0000,40.7337158127
