,SegmentID,NodeIDFrom,NodeIDTo,LCB2010,RCB2010,persons_injured,pedestrians_injured,volume_count
24686,51933,0031957,0031959,1004,2003,0.0,0.0,3652.0
24690,51998,0031995,0032080,1004,2002,0.0,0.0,20340.0
24693,129029,0076718,0032843,1008,1000,0.0,0.0,20838.0
24759,98006,0059688,0059689,3007,1008,1.0,0.0,35843.0
24781,98008,0059689,0059692,3007,1001,0.0,0.0,35097.0
24867,65642,0040413,0040412,1001,1002,0.0,0.0,5022.0
25428,112817,0034297,0067224,1007,1008,0.0,0.0,4514.0
26447,194069,0049867,0049876,1009,1008,0.0,0.0,10479.0
26474,134878,0102574,0032041,1001,1001,0.0,0.0,30255.0
26570,97825,0102388,0082170,2012,2012,0.0,0.0,2737.0
27043,113432,0067012,0046836,3003,3006,0.0,0.0,1895.0
27152,56117,0034556,0034559,2001,2002,0.0,0.0,6904.0
27338,66637,0041036,0041035,1030,1024,0.0,0.0,6572.0
27411,62100,0038266,0038267,2004,3004,0.0,0.0,20293.0
27611,97405,0059353,0059426,1007,1018,0.0,0.0,6472.0
27710,56804,0034962,0034963,1008,2001,0.0,0.0,68272.0
27714,57009,0035079,0035082,1003,1002,0.0,0.0,5403.0
27926,115821,0069517,0034988,1004,1008,0.0,0.0,13448.0
27994,61511,0037875,0037878,1011,1007,1.0,1.0,15325.0
28048,66648,0041044,0041037,1031,1021,0.0,0.0,9114.0
28186,100288,0061179,0061182,1020,2008,0.0,0.0,21692.0
28249,67556,0041549,0041482,1002,1003,0.0,0.0,10677.0
28285,67502,0041520,0041521,1027,1028,0.0,0.0,8579.0
28289,67560,0041551,0041549,1001,1000,0.0,0.0,10312.0
28320,58732,0036205,0036207,2001,2002,0.0,0.0,13369.0
28345,60012,0036991,0036995,2006,1001,2.0,1.0,13943.0
28871,73666,0045151,0045156,2005,2004,0.0,0.0,3497.0
28873,73668,0045152,0045159,4001,4006,0.0,0.0,7962.0
28877,113361,0066927,0046197,1000,1001,0.0,0.0,2371.0
28942,52940,0032577,0032635,2005,1001,2.0,2.0,9503.0
29094,102398,0062534,0062262,4007,1002,0.0,0.0,17290.0
29105,75406,0046189,0046193,1000,1008,4.0,0.0,18613.0
29112,68199,0041899,0041898,1010,1000,0.0,0.0,7072.0
29172,49354,0030387,0030437,1007,1000,1.0,0.0,21306.0
29244,97492,0059399,0059403,2007,1006,1.0,0.0,12183.0
29555,96042,0058537,0058536,1002,1008,0.0,0.0,11765.0
29693,74501,0045645,0045651,1011,2000,1.0,1.0,4001.0
29719,54575,0033678,0033688,1010,1011,0.0,0.0,41152.0
29762,89822,0054695,0054699,1002,1007,0.0,0.0,7101.0
29860,96629,0058897,0058956,4005,1006,0.0,0.0,6217.0
29947,74505,0045648,0045653,1004,1005,1.0,0.0,473.0
30082,96707,0058949,0058950,4004,1030,0.0,0.0,14932.0
30170,101928,0062231,0062299,4002,3010,0.0,0.0,4718.0
30259,50551,0031173,0031169,7013,7012,0.0,0.0,23919.0
30316,91529,0055707,0055787,2002,2002,1.0,0.0,9430.0
31146,116269,0040323,0069499,1001,1002,0.0,0.0,1091.0
31225,108665,0065267,0030484,1007,1006,0.0,0.0,4646.0
31295,106890,0041825,0063442,1001,3005,0.0,0.0,6835.0
31699,138222,0085775,0085776,1034,1034,0.0,0.0,4633.0
32077,96615,0058886,0058897,4005,1007,1.0,1.0,9751.0
32190,49505,0030484,0030474,1007,1003,0.0,0.0,7197.0
32204,91425,0055648,0055649,5001,2001,0.0,0.0,12747.0
32771,91313,0055585,0055586,1002,2000,0.0,0.0,15776.0
32782,90062,0054836,0054833,7003,7003,2.0,1.0,13837.0
33167,106891,0063442,0041828,1001,3000,2.0,0.0,7716.0
33815,96010,0058519,0058508,3003,1003,0.0,0.0,2917.0
33875,55804,0034384,0034386,2007,2006,0.0,0.0,4049.0
33934,64564,0039800,0039802,2005,1002,0.0,0.0,11543.0
34066,57188,0035182,0035184,1000,1001,0.0,0.0,2994.0
34111,64470,0039746,0039747,1005,2004,0.0,0.0,8458.0
34178,75343,0046153,0041888,3005,2000,0.0,0.0,7106.0
34408,119639,0069794,0062266,4004,1002,0.0,0.0,13739.0
34649,97278,0059281,0059283,2008,3001,0.0,0.0,11024.0
34755,76533,0046794,0046797,1003,2006,0.0,0.0,30839.0
34846,84369,0051476,0051479,1011,2008,4.0,0.0,18244.0
35108,74304,0045526,0045529,1012,1000,0.0,0.0,11799.0
35112,74503,0045647,0045646,1003,1002,0.0,0.0,67.0
35282,102582,0062654,0062594,1005,1002,0.0,0.0,1599.0
35456,119021,0070097,0036077,2010,1005,0.0,0.0,50437.0
35500,60799,0037458,0037453,1016,1000,0.0,0.0,20792.0
35747,106666,0036142,0064578,4005,4006,0.0,0.0,18214.0
35756,107711,0062990,0064400,2013,4000,0.0,0.0,10166.0
35937,68193,0041896,0065398,1005,1004,0.0,0.0,1551.0
36071,129127,0034381,0076251,2009,1000,0.0,0.0,14473.0
36115,57189,0035182,0067208,2023,1000,0.0,0.0,3329.0
36279,117242,0059404,0068363,2007,1006,0.0,0.0,1013.0
36462,119642,0062332,0070027,3001,1000,0.0,0.0,15236.0
37027,132790,0041246,0041253,2005,2009,0.0,0.0,8915.0
37079,96940,0059097,0060967,1006,1000,0.0,0.0,15918.0
37743,36705,0023020,0023011,3007,3006,0.0,0.0,10423.0
38114,62211,0038345,0038316,2000,1005,4.0,0.0,12908.0
38169,91423,0055647,0055648,5000,2000,0.0,0.0,13589.0
38446,101036,0061626,0061627,2000,2000,0.0,0.0,5240.0
38717,68073,0041828,0041830,1001,4000,0.0,0.0,6865.0
38729,67957,0041767,0041766,1002,1003,0.0,0.0,6288.0
38737,66886,0041176,0041173,1002,1004,1.0,1.0,6025.0
38853,129486,0082797,0039977,2000,2002,0.0,0.0,259.0
38968,58623,0036138,0036225,4017,1014,0.0,0.0,41335.0
39115,67650,0041600,0041541,4003,4002,1.0,0.0,13477.0
39722,97302,0059294,0059296,1001,1002,0.0,0.0,3385.0
39811,68200,0041900,0041899,1010,1014,0.0,0.0,8985.0
39939,60470,0037259,0037261,2000,2006,0.0,0.0,12215.0
40073,49444,0030442,0030450,1000,2001,1.0,1.0,15856.0
40093,76391,0046719,0046720,1005,2001,1.0,0.0,5970.0
40188,60160,0037081,0037083,2002,1007,0.0,0.0,5661.0
40652,52092,0032049,0032050,1010,1012,0.0,0.0,2888.0
40855,81722,0049876,0049935,1007,1008,1.0,1.0,12762.0
40969,91535,0055711,0055794,3001,3002,1.0,1.0,6394.0
40978,90253,0054955,0054960,1223,1006,0.0,0.0,12359.0
