,slow_zone_indicator,slow_zone_proximity_indicator,injury_percentile_indicator,persons_injured,ped_injured,bc_centrality
42788,0,0,1,8.0,5.0,0.004057447531158447
42789,0,0,1,8.0,3.0,0.004208703872569871
42790,0,0,0,0.0,0.0,0.0
42791,0,0,0,0.0,0.0,0.00010018297725564522
42792,0,0,0,0.0,0.0,0.0074200597592673475
42793,0,0,0,0.0,0.0,0.008621637854954602
42794,0,0,0,0.0,0.0,0.00012953366508056815
42795,0,0,0,0.0,0.0,0.007035138157805134
42796,0,0,0,3.0,0.0,0.0028350811245621017
42797,0,0,0,0.0,0.0,0.001928810012258663
42816,0,0,0,0.0,0.0,0.0018399766714820797
42817,0,0,0,0.0,0.0,0.0011497762432365404
42821,0,0,0,0.0,0.0,8.964101258183747e-05
42822,0,0,0,0.0,0.0,0.0013573690127896148
42825,0,0,0,0.0,0.0,5.611471431275734e-05
42827,0,0,0,0.0,0.0,0.0002117050331889765
42828,0,0,1,5.0,1.0,0.0008058664212189002
42829,0,0,1,7.0,0.0,0.0008434627519183788
42830,0,0,0,0.0,0.0,0.0016330279278129335
42831,0,0,1,11.0,1.0,0.000761418077426481
42832,0,0,0,0.0,0.0,0.0008698150241525542
42833,0,0,0,1.0,1.0,0.0026347362856535632
42834,0,0,0,1.0,1.0,0.001125060430215625
42835,0,0,0,1.0,0.0,0.0009668834500023174
42836,0,0,0,1.0,0.0,0.00030741678156194014
42837,0,0,0,0.0,0.0,0.0005538041922706547
42838,0,0,0,0.0,0.0,0.014827872468938684
42839,0,0,0,0.0,0.0,0.0001568783706440755
42840,0,0,0,2.0,1.0,0.0024439990459970674
42841,0,0,0,0.0,0.0,0.008204736673124872
42842,0,0,0,2.0,1.0,0.008284215801882435
42843,0,0,0,3.0,0.0,0.005743206397943171
42844,0,0,0,0.0,0.0,0.012577498221274413
42845,0,0,0,0.0,0.0,0.0002323455348788054
42846,0,0,0,2.0,0.0,0.01405682039775672
42847,0,0,0,0.0,0.0,0.005484915066183161
42848,0,0,0,0.0,0.0,0.0008183615791472442
42849,0,0,0,3.0,0.0,6.618157792465087e-05
42850,0,0,0,0.0,0.0,0.003498813144758331
42851,0,0,0,3.0,0.0,0.00577995810453258
42852,0,0,0,0.0,0.0,0.00862639942337512
42853,0,0,1,9.0,0.0,0.008233738953504393
42854,0,0,0,2.0,1.0,0.005503032253344157
42855,0,0,1,9.0,0.0,0.011530143209185202
42856,0,0,0,0.0,0.0,0.004606717147738165
42857,0,0,0,0.0,0.0,0.005741300714794826
42858,0,0,0,0.0,0.0,0.0007494455306662426
42859,0,0,0,0.0,0.0,0.0005382947820494994
42860,0,0,0,0.0,0.0,0.0005697517512489086
42861,0,0,0,0.0,0.0,0.001930552049485682
42862,0,0,1,10.0,2.0,0.003359634928120904
42863,0,0,0,0.0,0.0,0.0009863573146401126
42864,0,0,0,3.0,1.0,0.0016229346696976002
42865,0,0,0,1.0,1.0,0.0018249581990249025
42866,0,0,0,0.0,0.0,0.006492335194568138
42867,0,0,0,0.0,0.0,0.05293041279208553
42868,0,0,0,0.0,0.0,0.001736214599560014
42869,0,0,0,0.0,0.0,0.051090837317055736
42871,0,0,0,0.0,0.0,0.04967714243392585
42872,0,0,0,1.0,1.0,0.0029570448460561703
42873,0,0,0,1.0,1.0,0.00816369849917686
42874,0,0,0,1.0,0.0,0.0005456482907077939
42875,0,0,0,4.0,0.0,0.005921976369740116
42876,0,0,0,1.0,1.0,6.365826339581756e-05
42877,0,0,0,4.0,0.0,0.001040714155023787
42878,0,0,0,1.0,0.0,0.0003625918515522449
42879,0,0,0,0.0,0.0,0.005781515380235521
42880,0,0,0,0.0,0.0,0.04582117998422453
42881,0,0,0,0.0,0.0,0.04682494711333345
42882,0,0,0,0.0,0.0,0.0007763626452740272
